,Zip Code,AVG_INCOME
1,07001,68426
2,07002,56701
3,07003,74961
4,07004,107417
5,07005,109888
6,07006,114096
7,07008,73892
8,07009,115926
9,07010,67799
10,07011,56285
11,07012,86472
12,07013,93005
13,07014,96339
14,07016,122848
15,07017,41322
16,07018,42335
17,07020,103505
18,07021,198750
19,07022,56057
20,07023,132292
21,07024,76623
22,07026,54037
23,07027,79063
24,07028,195714
25,07029,61084
26,07030,127523
27,07031,74481
28,07032,63222
29,07033,108281
30,07034,82626
31,07035,92075
32,07036,66166
33,07039,153381
34,07040,125036
35,07041,104786
36,07042,97920
37,07043,191449
38,07044,110745
39,07045,162798
40,07046,175556
41,07047,57269
42,07050,38506
43,07052,93954
44,07054,90355
45,07055,34958
46,07057,62648
47,07058,114229
48,07059,154429
49,07060,57959
50,07062,67664
51,07063,72440
52,07064,81912
53,07065,69932
54,07066,100000
55,07067,103205
56,07068,110208
57,07069,122434
58,07070,93787
59,07071,73218
60,07072,89419
61,07073,77400
62,07074,59700
63,07075,102283
64,07076,117765
65,07077,76389
66,07078,76389
67,07079,121637
68,07080,91250
69,07081,110547
70,07082,116615
71,07083,81359
72,07086,84841
73,07087,43407
74,07088,50299
75,07090,159923
76,07092,129405
77,07093,51509
78,07094,99883
79,07095,80196
80,07102,24353
81,07103,27859
82,07104,36547
83,07105,45227
84,07106,37421
85,07107,30779
86,07108,25192
87,07109,67782
88,07110,94128
89,07111,39734
90,07112,35765
91,07114,26326
92,07201,44655
93,07202,44867
94,07203,52480
95,07204,67300
96,07205,65717
97,07206,43429
98,07208,46572
99,07302,113898
100,07304,45870
101,07305,49453
102,07306,51197
103,07307,59744
104,07310,147357
105,07311,189750
106,07401,151875
107,07403,80872
108,07405,113281
109,07407,76907
110,07410,109747
111,07416,59477
112,07417,155458
113,07418,128438
114,07419,85225
115,07420,80614
116,07421,90412
117,07422,86250
118,07423,176518
119,07424,79302
120,07430,107215
121,07432,105313
122,07435,124500
123,07436,112944
124,07438,106035
125,07439,84167
126,07440,104236
127,07442,92952
128,07444,91060
129,07446,137331
130,07450,162201
131,07452,162443
132,07456,115399
133,07457,100602
134,07458,176455
135,07460,96176
136,07461,84676
137,07462,88223
138,07463,115591
139,07465,85545
140,07470,108092
141,07480,100963
142,07481,147463
143,07495,147463
144,07501,26691
145,07502,52292
146,07503,40368
147,07504,58125
148,07505,26198
149,07506,93675
150,07508,77128
151,07512,97729
152,07513,39665
153,07514,39951
154,07522,30902
155,07524,35397
156,07601,59277
157,07603,79356
158,07604,87800
159,07605,89744
160,07606,66094
161,07607,86100
162,07608,86100
163,07620,118068
164,07621,90962
165,07624,130815
166,07626,136250
167,07627,149271
168,07628,94617
169,07630,111536
170,07631,80489
171,07632,134904
172,07640,127188
173,07641,170417
174,07642,124844
175,07643,61341
176,07644,57188
177,07645,120060
178,07646,84025
179,07647,93925
180,07648,125417
181,07649,137583
182,07650,64538
183,07652,105114
184,07656,106875
185,07657,66690
186,07660,72191
187,07661,123590
188,07662,78333
189,07663,94177
190,07666,106411
191,07670,153906
192,07675,119748
193,07676,128203
194,07677,161250
195,07701,84520
196,07702,122321
197,07703,122321
198,07704,158264
199,07711,137625
200,07712,60869
201,07716,91012
202,07717,78323
203,07718,102542
204,07719,92414
205,07720,61209
206,07721,68350
207,07722,166706
208,07723,77778
209,07724,79868
210,07726,106678
211,07727,77128
212,07728,86037
213,07730,98194
214,07731,102961
215,07732,60817
216,07733,152294
217,07734,54092
218,07735,66782
219,07737,91042
220,07738,132222
221,07739,144250
222,07740,55038
223,07746,144588
224,07747,99825
225,07748,113676
226,07750,110380
227,07751,145118
228,07753,64774
229,07755,90192
230,07756,60000
231,07757,107571
232,07758,92879
233,07760,138917
234,07762,77500
235,07764,100000
236,07801,69028
237,07803,84904
238,07820,84904
239,07821,106515
240,07822,70156
241,07823,60938
242,07825,91903
243,07826,81569
244,07827,69688
245,07828,77375
246,07830,124659
247,07832,86944
248,07833,86944
249,07834,116273
250,07836,107128
251,07838,107757
252,07840,77931
253,07842,77931
254,07843,78694
255,07846,207969
256,07847,108836
257,07848,78472
258,07849,87212
259,07850,91164
260,07851,101250
261,07852,92792
262,07853,154135
263,07856,91563
264,07857,56016
265,07860,82716
266,07863,85720
267,07865,118654
268,07866,102712
269,07869,126290
270,07870,126290
271,07871,131813
272,07874,90613
273,07876,124854
274,07878,106481
275,07880,132054
276,07881,132054
277,07882,90304
278,07885,79222
279,07901,128097
280,07920,135365
281,07921,104328
282,07922,146674
283,07924,150246
284,07926,150246
285,07927,106458
286,07928,173929
287,07930,138328
288,07931,186571
289,07932,122843
290,07933,142542
291,07934,150250
292,07935,150250
293,07936,121769
294,07939,121769
295,07940,128116
296,07945,171571
297,07946,152750
298,07950,120095
299,07960,114844
300,07961,114844
301,07970,233750
302,07974,146776
303,07976,116019
304,07977,74063
305,07979,130913
306,07980,122716
307,07981,112534
308,08001,68750
309,08002,78812
310,08003,122591
311,08004,87885
312,08005,70564
313,08006,67750
314,08007,70152
315,08008,82047
316,08009,81354
317,08010,64085
318,08011,64085
319,08012,71865
320,08014,107838
321,08015,65531
322,08016,74626
323,08019,95809
324,08020,85519
325,08021,50262
326,08022,89770
327,08023,28785
328,08026,84625
329,08027,70255
330,08028,67875
331,08029,55435
332,08030,52136
333,08031,49713
334,08033,111939
335,08034,91362
336,08035,88667
337,08036,97051
338,08037,71798
339,08038,49583
340,08039,68676
341,08041,110500
342,08042,110500
343,08043,85164
344,08045,63494
345,08046,70929
346,08048,84347
347,08049,55250
348,08050,75981
349,08051,79032
350,08052,57460
351,08053,94395
352,08054,92826
353,08055,112267
354,08056,158359
355,08057,132713
356,08059,73211
357,08060,79475
358,08061,144258
359,08062,125926
360,08063,62545
361,08064,62545
362,08065,68307
363,08066,49303
364,08067,78239
365,08068,58574
366,08069,49176
367,08070,62417
368,08071,74492
369,08072,66346
370,08073,193583
371,08074,193583
372,08075,79486
373,08077,97602
374,08078,61210
375,08079,42357
376,08080,97452
377,08081,83694
378,08083,69783
379,08084,72652
380,08085,111318
381,08086,78609
382,08087,63832
383,08088,77303
384,08089,63027
385,08090,87019
386,08091,59122
387,08092,81406
388,08093,54460
389,08094,73848
390,08095,73848
391,08096,68785
392,08097,79281
393,08098,85218
394,08102,20529
395,08103,22500
396,08104,22289
397,08105,34750
398,08106,74866
399,08107,54736
400,08108,88937
401,08109,68567
402,08110,65648
403,08201,58125
404,08202,87273
405,08203,65724
406,08204,67186
407,08205,63194
408,08210,70009
409,08212,46964
410,08215,63724
411,08217,63724
412,08221,91861
413,08223,73696
414,08224,61974
415,08225,73586
416,08226,72715
417,08230,81698
418,08232,40196
419,08234,78324
420,08240,78324
421,08241,102375
422,08242,53496
423,08243,72153
424,08244,52767
425,08246,52767
426,08247,101484
427,08248,222031
428,08251,49184
429,08260,45471
430,08270,63471
431,08302,46862
432,08310,61458
433,08311,69444
434,08312,63698
435,08314,72083
436,08316,44519
437,08317,79363
438,08318,79692
439,08319,95662
440,08320,95662
441,08321,24773
442,08322,83596
443,08323,71250
444,08324,88571
445,08326,67958
446,08327,89167
447,08328,65288
448,08329,93098
449,08330,64266
450,08332,50220
451,08340,97583
452,08341,33470
453,08343,105329
454,08344,68405
455,08345,56339
456,08346,37074
457,08348,56838
458,08349,34821
459,08350,58077
460,08352,68500
461,08353,54375
462,08360,47098
463,08361,76237
464,08401,26006
465,08402,69896
466,08403,118393
467,08406,52799
468,08501,116895
469,08502,182837
470,08505,88865
471,08510,150050
472,08511,79583
473,08512,83958
474,08514,90104
475,08515,142197
476,08518,61500
477,08520,87401
478,08525,126141
479,08527,87995
480,08528,87995
481,08530,94740
482,08533,108185
483,08534,126108
484,08535,174205
485,08536,98883
486,08540,135975
487,08542,72977
488,08550,200049
489,08551,136765
490,08553,112917
491,08554,81273
492,08555,100556
493,08558,201964
494,08559,124088
495,08560,109973
496,08561,122697
497,08562,64464
498,08608,14740
499,08609,31881
500,08610,60620
501,08611,37248
502,08618,41920
503,08619,74056
504,08620,92629
505,08628,86315
506,08629,61058
507,08638,50754
508,08640,58750
509,08641,57500
510,08648,95537
511,08690,99837
512,08691,119659
513,08701,45321
514,08720,122826
515,08721,78496
516,08722,72815
517,08723,70174
518,08724,75988
519,08730,133493
520,08731,75333
521,08732,83929
522,08733,62262
523,08734,83086
524,08735,68224
525,08736,112836
526,08738,84167
527,08740,62813
528,08741,93750
529,08742,92579
530,08750,117950
531,08751,56667
532,08752,62464
533,08753,77119
534,08755,72674
535,08757,40767
536,08758,66692
537,08759,38212
538,08801,120435
539,08802,125494
540,08804,84375
541,08805,68125
542,08807,120065
543,08808,120065
544,08809,91157
545,08810,130203
546,08812,96463
547,08816,106039
548,08817,87688
549,08820,120911
550,08821,53859
551,08822,107215
552,08823,102851
553,08824,128623
554,08825,106858
555,08826,100931
556,08827,102928
557,08828,79702
558,08829,93026
559,08830,86875
560,08831,78920
561,08832,59009
562,08833,137063
563,08835,67080
564,08836,150994
565,08837,80423
566,08840,115785
567,08844,120173
568,08846,73196
569,08848,97319
570,08850,102664
571,08852,101928
572,08853,130352
573,08854,89617
574,08857,93650
575,08858,93650
576,08859,83389
577,08861,51389
578,08863,87357
579,08865,60887
580,08867,125694
581,08869,78974
582,08872,74985
583,08873,90555
584,08876,91324
585,08879,68693
586,08880,81545
587,08882,62179
588,08884,75226
589,08886,106012
590,08887,83750
591,08889,134387
592,08890,134387
593,08901,38413
594,08902,88512
595,08904,75913
596,10969,83333
597,10983,112831
598,10990,94091
599,18042,53291
600,18343,66757
